ds  cmp_id
20160501    1169
20160501    2296
20160501    3454
20160501    3480
20160501    5355
20160501    5356
20160501    5477
20160501    5832
20160501    8586
20160501    8676
20160501    9061
20160501    9208
20160501    9467
20160501    9506
20160501    10073
20160501    10328
20160501    10357
20160501    10588
20160501    10724
20160501    11602
20160501    11606
20160501    11760
20160501    11777
20160501    12468
20160501    12754
20160501    13388
20160501    13587
20160501    14347
20160501    15198
20160501    15796
20160501    15802
20160501    16441
20160501    17130
20160501    18803
20160501    18822
20160501    19001
20160501    19770
20160501    19996
20160501    19997
20160501    19999
20160501    20322
20160501    20490
20160501    20560
20160501    20728
20160501    20782
20160501    21310
20160501    22183
20160501    22552
20160501    22768
20160501    23017
20160501    24530
20160501    25427
20160501    28711
20160501    28723
20160501    29106
20160501    29752
20160501    29804
20160501    30892
20160501    30918
20160501    30924
20160501    30930
20160501    31021
20160501    187473
20160501    199908
20160501    201613
20160501    330795
20160501    330886
20160501    330893
20160501    331045
20160501    332678007
20160501    332678063
20160501    332690079
20160501    332787033
20160501    332879059
20160501    332882072
20160501    332926027
20160501    332927020
20160501    332927022
20160501    333197165
20160501    333199172
20160501    333200157
20160501    333207036
20160501    333211030
20160501    333212028
20160501    333252231
20160501    333252233
20160501    333252234
20160501    333259023
20160501    333259034
20160501    333260012
20160501    333260016
20160501    333260025
20160501    333261005
20160501    333261010
20160501    333262009
20160501    333262010
20160501    333262012
20160501    333262034
20160501    333263003
20160501    333263004
20160501    333263020
20160501    333264006
20160501    333264007
20160501    333264014
20160501    333265009
20160501    333265011
20160501    333265030
20160501    333266017
20160501    333266024
20160501    333274107
20160501    333280125
20160501    333288054
20160501    333288059
20160501    333288065
20160501    333290101
20160501    333292050
20160501    333292055
20160501    333296050
20160501    333298052
20160501    333299043
20160501    333320014
20160501    333322009
20160501    333322012
20160501    333323012
20160501    333325007
20160501    333325008
20160501    333365104
20160501    333368081
20160501    333370085
20160501    333371091
20160501    333925004
20160501    333925092
20160501    333940071
20160501    333978045
20160501    334374062
20160501    334414066
20160501    334414099
20160501    334419251
20160501    334457003
20160501    334457042
20160501    334469127
20160501    334484183
20160501    334507009
20160501    334517031
20160501    334530142
20160501    334539044
20160501    334557236
20160501    334563096
20160501    334566075
20160501    334567157
20160501    334568094
20160501    334580260
20160501    334580270
20160501    334912079
20160501    335070070
20160501    335089064
20160501    335100009
20160501    335116075
20160501    335585393
20160501    335893102
20160501    336032019
20160501    336186020
20160501    336206037
20160501    336214121
20160501    336225128
20160501    336226094
20160501    336227132
20160501    336230103
20160501    336289058
20160501    336290075
20160501    336306091
20160501    336307048
20160501    336307098
20160501    336307126
20160501    336308067
20160501    336309146
20160501    336315135
20160501    336351156
20160501    336361031
20160501    336415036
20160501    336425021
20160501    336431208
20160501    336433141
20160501    336437003
20160501    336464037
20160501    336465050
20160501    336469048
20160501    336551285
20160501    336554336
20160501    336668100
20160501    336674146
20160501    336681052
20160501    336684177
20160501    336689521
20160501    336690670
20160501    336691016
20160501    336691028
20160501    336691071
20160501    336693135
20160501    336807662
20160501    336813212
20160501    336814082
20160501    336910722
20160501    336913460
20160501    336991100
20160501    336994116
20160501    336995314
20160501    336996238
20160501    336997334
20160501    337024117
20160501    337029177
20160501    337069277
20160501    337069468
20160501    337070149
20160501    337070487
20160501    337075175
20160501    337084630
20160501    337084637
20160501    337087114
20160501    337091126
20160501    337091323
20160501    337091507
20160501    337130101
20160501    337130106
20160501    337130379
20160501    337133098
20160501    337134099
20160501    337149073
20160501    337158144
20160501    337158148
20160501    337164138
20160501    337164157
20160501    337164160
20160501    337164164
20160501    337196936
20160501    337197007
20160501    337198819
20160501    337200201
20160501    337202602
20160501    337202606
20160501    337202607
20160501    337202609
20160501    337202611
20160501    337202614
20160501    337202680
20160501    337202683
20160501    337202685
20160501    337202686
20160501    337255022
20160501    337258002
20160501    337267019
20160501    337269156
20160501    337269158
20160501    337269160
20160501    337269162
20160501    337269164
20160501    337269166
20160501    337269168
20160501    337269170
20160501    337282093
20160501    337303369
20160501    337309360
20160501    337355062
20160501    337361170
20160501    337364098
20160501    337366226
20160501    337393223
20160501    337395213
20160501    337396214
20160501    337409246
20160501    337414049
20160501    337444332
20160501    337652666
20160501    337663086
20160501    337664000
20160501    337690003
20160501    337690006
20160501    337694004
20160501    337811607
20160501    337814312
20160501    337814315
20160501    337828034
20160501    337828665
20160501    337845888
20160501    337846693
20160501    337851297
20160501    337853896
20160501    337863790
20160501    337863825
20160501    337865499
20160501    337865946
20160501    337870227
20160501    337870356
20160501    337890037
20160501    337890077
20160501    337890081
20160501    337907802
20160501    337910860
20160501    337910999
20160501    337911295
20160501    337911608
20160501    337916218
20160501    337917155
20160501    337918259
20160501    337932117
20160501    337934083
20160501    338002400
20160501    338019583
20160501    338019674
20160501    338062121
20160501    338138121
20160501    338140001
20160501    338140081
20160501    338145087
20160501    338153103
20160501    338155120
20160501    338166089
20160501    338192047
20160501    338194596
20160501    338194597
20160501    338194599
20160501    338194600
20160501    338197051
20160501    338200403
20160501    338230029
20160501    338232013
20160501    338233004
20160501    338233168
20160501    338234425
20160501    338236106
20160501    338254276
20160501    338255256
20160501    338259254
20160501    338267478
20160501    338267488
20160501    338267500
20160501    338267553
20160501    338270272
20160501    338274064
20160501    338274186
20160501    338293078
20160501    338301114
20160501    338312086
20160501    338316149
20160501    338317089
20160501    338317100
20160501    338318085
20160501    338331490
20160501    338332031
20160501    338332111
20160501    338334484
20160501    338335502
20160501    338338073
20160501    338338103
20160501    338358081
20160501    338371065
20160501    338372385
20160501    338374355
20160501    338376008
20160501    338376449
20160501    338379113
20160501    338379194
20160501    338392229
20160501    338393143
20160501    338393376
20160501    338395216
20160501    338396024
20160501    338414071
20160501    338441125
20160501    338445231
20160501    338467000
20160501    338468877
20160501    338468894
20160501    338482389
20160501    338485088
20160501    338505052
20160501    338508083
20160501    338538003
20160501    338540052
20160501    338543054
20160501    338543056
20160501    338554059
20160501    338561165
20160501    338581096
20160501    338589378
20160501    338595004
20160501    338678223
20160501    338679237
20160501    338681107
20160501    338681568
20160501    338682067
20160501    338683141
20160501    338685514
20160501    338977185
20160501    338980008
20160501    338983194
20160501    339004124
20160501    339005086
20160501    339006072
20160501    339006078
20160501    339008064
20160501    339008085
20160501    339009038
20160501    339032029
20160501    339040038
20160501    339043186
20160501    339045027
20160501    339045036
20160501    339198280
20160501    339202101
20160501    339204281
20160501    339205268
20160501    339214419
20160501    339215398
20160501    339220380
20160501    339221432
20160501    339244303
20160501    339245009
20160501    339246013
20160501    339262259
20160501    339269101
20160501    339272135
20160501    339275342
20160501    339276385
20160501    339279047
20160501    339280106
20160501    339290311
20160501    339324967
20160501    339324970
20160501    339324971
20160501    339324975
20160501    339327055
20160501    339327903
20160501    339330108
20160501    339332071
20160501    339332100
20160501    339336040
20160501    339362177
20160501    339368020
20160501    339370008
20160501    339390080
20160501    339391001
20160501    339391059
20160501    339403028
20160501    339406215
20160501    339410041
20160501    339410197
20160501    339414715
20160501    339420086
20160501    339420135
20160501    339519086
20160501    339742107
20160501    339753339
20160501    339756020
20160501    339756099
20160501    339761067
20160501    339762125
20160501    339766795
